"";"ingredientes";"Freq"
"1";"Pepinillos";74
"2";"Espinaca";68
"3";"Cilantro";65
"4";"Tomate";56
"5";"Berenjena";52
"6";"Pimiento";48
"7";"Cebolla";46
"8";"Lechuga";45
"9";"Rúcula";42
"10";"Remolacha";29
"11";"Zanahoria";29
"12";"Puerro";21
"13";"Apio";19
"14";"Pepino";19
"15";"Pescado";19
"16";"Huevo";18
"17";"Soya";18
"18";"Mariscos";16
"19";"Perejil";16
"20";"Espárragos";12
"21";"Almendras";11
"22";"Pimientos";11
"23";"Nueces";10
"24";"Salsa de queso";10
"25";"Salsa de tomate";10
"26";"Cacahuetes";9
"27";"Salsa de chipotle";8
"28";"Salsa de soja";8
"29";"Salsa de tamarindo";7
"30";"Mostaza";6
"31";"Salsa de enchilada";6
"32";" Tomates frescos";5
"33";"Caldo de pollo";5
"34";"Salsa de chile";5
"35";"Salsa de jalapeño";5
"36";" Aceitunas";4
"37";"Leche condensada";4
"38";"Piñones";4
"39";"Salsa hoisin";4
"40";"Vinagre balsámico";4
"41";" Almejas";3
"42";" Cacahuetes";3
"43";" Calamares";3
"44";" Langostinos";3
"45";" Pescado";3
"46";"Camarones";3
"47";"Mango";3
"48";"Salchichas";3
"49";"Vinagre de arroz";3
"50";"Vinagre de manzana";3
"51";"Vinagre de vino tinto";3
"52";"Vino tinto";3
"53";" Bacon";2
"54";" Calabacín";2
"55";" Cerdo";2
"56";" Chorizo";2
"57";" Huevo";2
"58";" Mariscos";2
"59";" Mejillones";2
"60";" Pollo";2
"61";" Salchichas";2
"62";" Salsa de chile";2
"63";" Ternera";2
"64";"Aceite de oliva";2
"65";"Aceitunas";2
"66";"Caldo de carne";2
"67";"Champán";2
"68";"Gluten";2
"69";"Lactosa";2
"70";"Leche de coco";2
"71";"Masa de hojaldre";2
"72";"Patatas";2
"73";"Piña";2
"74";"Salsa barbacoa";2
"75";"Vinagre de vino blanco";2
"76";"Vino blanco";2
"77";"Zanahorias";2
"78";" Aceite de oliva";1
"79";" Acelgas";1
"80";" Albahaca";1
"81";" Almendras";1
"82";" Anchoas en conserva";1
"83";" Arroz";1
"84";" Bacalao";1
"85";" Berengena";1
"86";" Caldo de carne";1
"87";" Caldo de pollo";1
"88";" Camarones";1
"89";" Cebolla";1
"90";" Cilantro";1
"91";" Ciruelas pasas";1
"92";" Espinacas";1
"93";" Jamón serrano";1
"94";" Leche evaporada";1
"95";" Lechuga";1
"96";" Lentejas";1
"97";" Limoncello";1
"98";" Lomo";1
"99";" Nuez moscada";1
"100";" Pavo";1
"101";" Pimentón picante";1
"102";" Pulpo";1
"103";" Queso parmesano";1
"104";" Romero";1
"105";" Sal";1
"106";" Salsa de tomate";1
"107";" Tomillo";1
"108";" Zanahorias";1
"109";"Acelga";1
"110";"Ajo";1
"111";"Albahaca";1
"112";"Alcaparras";1
"113";"Almejas";1
"114";"Anchoas";1
"115";"Avellanas";1
"116";"Azúcar";1
"117";"Berengena";1
"118";"Brócoli";1
"119";"Calabacín";1
"120";"Calabaza";1
"121";"Calamares";1
"122";"Carne picada";1
"123";"Cebolla tierna";1
"124";"Cebollino";1
"125";"Cerdo";1
"126";"Cerveza";1
"127";"Champiñones";1
"128";"Chiles en escabeche";1
"129";"Chirimoya";1
"130";"Chocolate con leche";1
"131";"Chocolate negro";1
"132";"Coliflor";1
"133";"Crema de leche";1
"134";"Espinacas";1
"135";"Guisantes";1
"136";"Harina";1
"137";"Hinojo";1
"138";"Judías verdes";1
"139";"Langostinos";1
"140";"Leche evaporada";1
"141";"Levadura";1
"142";"Limón";1
"143";"Mantequilla de almendra";1
"144";"Mantequilla de maní";1
"145";"Mayonesa";1
"146";"Mejillones";1
"147";"Melón";1
"148";"Miel";1
"149";"Mostaza Dijon";1
"150";"Nabo";1
"151";"Naranja";1
"152";"Pan";1
"153";"Papa";1
"154";"Parmesano";1
"155";"Pasas";1
"156";"Pasta";1
"157";"Patata";1
"158";"Pera";1
"159";"Pollo";1
"160";"Pulpo";1
"161";"Queso parmesano";1
"162";"Ternera";1
"163";"Vinagre de sidra";1
"164";"Vino espumoso";1
"165";"Yogur";1
